UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
entrepreneurforlife.eth,@Entrepreneurfo3,2020-07-27T12:12:33.000Z,,"Well we’ve hit 1,000 Followers 

Or I should I say 1,000 new friends.  

Massive thanks to everyone so far. 

When I started 7 weeks ago this felt impossible. 

I started with ZERO social media experience. 

What I’ve learnt...

 Celebration Thread ",❗ 🙏 🔥 🔥,42,9,110,[],https://twitter.com/Entrepreneurfo3/status/1287722541818114048
entrepreneurforlife.eth,@Entrepreneurfo3,2020-08-12T13:07:14.000Z,,"Get a coach or mentor. 

That’s it. Nothing more to add.",,24,16,117,[],https://twitter.com/Entrepreneurfo3/status/1293534508373794817
entrepreneurforlife.eth,@Entrepreneurfo3,2020-11-30T12:28:17.000Z,,"You don’t need a college education to make great money.

You need skills.",,29,43,275,[],https://twitter.com/Entrepreneurfo3/status/1333387371878998016
entrepreneurforlife.eth,@Entrepreneurfo3,2020-12-23T21:23:06.000Z,,"When building your circle...

Think quality over quantity.",,25,30,175,[],https://twitter.com/Entrepreneurfo3/status/1341856885557714945
entrepreneurforlife.eth,@Entrepreneurfo3,2020-12-13T22:12:47.000Z,,"You don’t need great ideas to be successful.

You need to copy what works.",,28,23,165,[],https://twitter.com/Entrepreneurfo3/status/1338245508087697409
entrepreneurforlife.eth,@Entrepreneurfo3,2020-12-13T12:35:24.000Z,,"The more money you have, the less you care about impressing people with how much money you have.",,31,29,201,[],https://twitter.com/Entrepreneurfo3/status/1338100207872045058
entrepreneurforlife.eth,@Entrepreneurfo3,2020-12-23T12:58:10.000Z,,"A true sign of leadership isn’t how many followers you have. 

It’s how many leaders you’ve developed.",,23,16,136,[],https://twitter.com/Entrepreneurfo3/status/1341729815213182977
entrepreneurforlife.eth,@Entrepreneurfo3,2020-12-17T12:35:19.000Z,,"Seriously, how can you not love capitalism?

It’s a simple system where you create something of value and you get rewarded. 

Why do people want things for free?",,44,27,215,[],https://twitter.com/Entrepreneurfo3/status/1339549736941088768
entrepreneurforlife.eth,@Entrepreneurfo3,2020-12-07T12:28:25.000Z,,If you lack motivation it generally means you are working on someone else’s goals rather than your own.,,19,25,173,[],https://twitter.com/Entrepreneurfo3/status/1335924122761760768
entrepreneurforlife.eth,@Entrepreneurfo3,2020-12-12T19:45:22.000Z,,Your own personal growth will happen a lot faster when you focus less on others and more on yourself.,,29,23,184,[],https://twitter.com/Entrepreneurfo3/status/1337846022375141378
